peril,n.危险
rival,n.对⼿；竞争者 v.竞争
fierce,adj.凶猛的；猛烈的；激烈的；强烈的
grasp,v.抓紧；抓住；理解 n.掌握；理解（⼒）
dull,adj.呆滞的；迟钝的；⽆聊的；暗淡的；阴暗的
swell,v.肿胀
weave,v.编织
mature,adj.成熟的 v.成熟
fatigue,n.疲劳；劳累
bold,adj.⼤胆的；英勇的；醒⽬的；粗体的；冒失的
slide,v.滑动；下滑；衰落 n.幻灯⽚；滑动；滑梯
render,v.提供；翻译；表达；回报
earnest,adj.认真的；真诚的；诚挚的
ease,n.容易；安逸 v.缓和；减轻
schema,n.计划；阴谋 v.密谋
somehow,adv.由于某种原因；不知怎么地
breed,n.品种 v.繁殖；养育；引起
banknote,n.钞票；纸币
thrive,v.兴旺；繁荣；旺盛
vain,adj.徒劳的；⾃负的；⽆结果的
well-off,adj.富裕的
spoil,v.破坏；溺爱
idle,adj.空闲的；闲散的；懒散的；⽆⽤的
realm,n.领域；范围；王国
clue,n.线索；提示
stuff,n.东⻄；材料 v.装；填；塞
swing,v.摇摆；转向；转动 n.秋千；摇摆
crack,n.裂缝；缝隙 v.（使）破裂
virtue,n.美德；德⾏；优点
gap,n.缺⼝；差距；间隔
brilliant,adj.明亮的
gross,adj.总的；粗鲁的；严重的；令⼈恶⼼的 13
crush,v.压碎；压坏
forthcoming,adj.即将发⽣的
triumph,n.胜利；成功 v.战胜
old-fashioned,adj.陈旧的；过时的；守旧的
durable,adj.耐⽤的；持久的
regret,v.后悔；对...感到遗憾 n.懊悔
blind,adj.盲的；瞎的；盲⽬的；未察觉的
relation,n.关系；联系；亲戚
burst,v.（使）爆裂；猛冲；突然出现 n.突发；裂⼝
scream,v.尖叫；⾼声喊；呼啸⽽过 n.尖叫
bright,adj.明亮的；聪明的；鲜艳的
rough,adj.粗糙的；粗略的；粗暴的；恶劣的；艰难的
drought,n.⼲旱；旱灾
secretary,n.秘书；⼲事；⼤⾂
edge,n.边缘；优势
bench,n.⻓凳；条凳；⼯作台
wine,n.酒；葡萄酒
basin,n.盆；洗脸盆；盆地；流域
wheel,n.轮；⻋轮
wound,n.（身体或⼼灵上的）伤；伤⼝
valley,n.流域；⼭⾕；溪⾕
sink,v.（使）下沉 n.⽔池；⽔槽
area,n.区域；地区；范围；⾯积
type,n.类型；典型 v.打字
soil,n.⼟壤；⼟地
south,n.南⽅；南部 adj.南的 adv.在南⽅；向南⽅
southwest,n.⻄南⽅ adj.⻄南的 adv.往⻄南；来 ⾃⻄南
southern,adj.南的；南⽅的 n.南；南⽅ adv.在南⽅
southeast,n.东南；东南地区 adj.东南的 adv.来⾃ 东南
prisoner,n.囚犯
wedding,n.婚礼
tip,n.尖端；末端；建议；⼩费
ordinary,adj.平常的；平凡的
coal,n.煤；煤块
period,n.阶段；时期；经期
wheat,n.⼩⻨
century,n.世纪；百年
dawn,n.黎明；拂晓；开端
republic,n.共和国；共和政体
bias,n.偏⻅；偏爱 v.使有偏⻅；使偏向
dove,n.鸽⼦；温和派⼈物
gas,n.煤⽓；⽓体；汽油；天然⽓
dust,n.灰尘；尘⼟；粉末
block,n.⼤块；街区；⼤楼；障碍物 v.堵住；拦截
crop,n.庄稼；作物；收成 v.剪裁；剪短
downstairs,adv.在楼下；往楼下 n.楼下
ahead,adv.在前；向前；预先；领先
devil,n.魔⻤；撒旦；淘⽓⻤
gossip,n.流⾔蜚语；闲聊 v.说三道四
forest,n.森林；森林地带
among,prep.在...中间；...之⼀
fork,n.餐叉；叉；岔⼝
cave,n.⼭洞；洞⽳；窑洞
chimney,n.烟囱；裂缝
north,n.北；北⽅ adj.北⽅的 adv.向北
northern,adj.北⽅的；北部的
northwest,n.⻄北 adj.位于⻄北的 adv.向⻄北
northeast,n.东北 adj.位于东北的 adv.向东北
honest,adj.诚实的；正直的；坦率的
equipment,n.装备；设备；配备
scold,v.训斥；责骂
geography,n.地理；地理学；地形
further,adv.更远地；此外 adj.更多的
remove,v.以移开；搬⾛；脱掉
mouse,n.⽼⿏；耗⼦
pale,adj.苍⽩的；浅⾊的；微弱的；暗淡的
native,adj.本地的；⼟著的 n.本地⼈
cage,n.笼；⻦笼
peasant,n.农⺠
theory,n.理论；原理
medal,n.奖章；勋章
tin,n.锡；罐；罐头
shore,n.岸；滨
anyhow,adv.尽管如此；随便地
anyone,pron.任何⼈
anybody,pron.任何⼈
anything,pron.任何事物
anyway,adv.⽆论如何；反正；尽管如此；⾄少
anywhere,adv.⽆论何处；在任何地⽅
strength,n.⼒量；毅⼒实⼒；⻓处
wise,adj.明智的；充满智慧的；英明的
peer,n.同龄⼈ v.盯着看；端详
enemy,n.敌⼈；仇敌
below,prep.在...下⾯；低于
collar,n.⾐领；项圈 v.抓住
political,adj.政治的；党派的 14
cow,n.⺟⽜；奶⽜ v.恐吓；胁迫
gather,v.聚集；集合 v.收集
quarrel,n./v.争吵
cheque,n.⽀票
goose,n.鹅
ham,n.⽕腿
natural,adj.⾃然界的；天然的；天⽣的；正常的
pan,n.平底锅；秤盘
scent,n.⾹味；⽓息；察觉 v.嗅出；察觉出
noble,adj.贵族的；⾼尚的；宏伟的
ought,aux./v.应当；应该
sheet,n.被单；纸张；薄板；⼀张；⼀⼤⽚
neat,adj.整洁的；简洁的；纯的
pure,adj.纯粹的；纯的
melon,n.⽠；甜⽠
heaven,n.天堂；极乐世界；天空
tailor,n.裁缝 v.订做
silver,n.银；银币；银器；银⾊ adj.银⾊的
tobacco,n.烟草；烟叶；烟草制品
spirit,n.精神；⼼灵；灵魂；志⽓
indeed,adv.真正地；的确；其实；实际上
shrink,v.（使）缩⼩；（使）收缩；缩⽔；退缩
land,n.陆地；⼟地；地区 v.使降落；使着陆
willing,adj.乐意的；⾃愿的
pile,n.堆 v.堆叠
thick,adj.厚的；粗的；浓密的；粘稠的
mode,n.⽅式；模式；状态
pork,n.猪⾁
cruel,adj.残忍的；残酷的
root,n.根；根源；根基 v.⽣根
escape,v./n.逃跑；漏出
fare,n.⻋费；船费 v.进展
forge,v.伪造；锻造；稳步前进
cheese,n.乳酪；⼲酪
percent,n.百分⽐；百分之...
cotton,n.棉；棉花；棉线；棉布
depth,n.深；深度
fault,n.缺点；过失；故障
pity,n.同情；怜悯；遗憾 v.同情
communism,n.共产主义
communist,n.共产主义者 adj.共产主义的
advance,n./v.前进；（使）进展 adj.事先的
mad,adj.疯的；⽓愤的；极愚蠢的；痴迷的
freeze,v.（使）冻结；冷藏；（使）结冰
brush,n.刷⼦；⽑刷；画笔；灌⽊丛 v.刷；涂
fridge,（亦作 refrigerator）n.电冰箱
quarter,n.四分之⼀；⼀刻钟；季度
fellow,n.男⼈；家伙；伙伴；同事
exhibition,n.展览；表现；展览会
headache,n.头痛；令⼈头痛的事
row,n.排；吵架；纠纷；⼤的噪⾳ v.吵架
scarce,adj.缺乏的；稀少的 adv.⼏乎不；简直不
harvest,n.收获；收成 v.收割；捕猎
greeting,n.问候；招呼；致敬；迎接
greet,v.问候；招呼；迎接；对...作出反应
labour,（亦作 labor）n.劳动；⼯作；劳⼯
mirror,n.镜⼦；写照 v.反映
modern,adj.现代的；近代的；新式的
nut,n.坚果；螺⺟
elegant,adj.优雅的；⽂雅的
square,n.平⽅；⼴场；正⽅形 adj.平⽅的；正⽅ 形的
operate,v.操作；运营；运转；动⼿术
machine,n.机器；机械装置
shallow,adj.浅的；肤浅的；弱的
twin,n.双胞胎中⼀⼈ adj.双胞胎的；成双的
ladder,n.梯⼦；阶梯
whereas,conj.然⽽；但是；尽管
international,adj.国际的
penny,n.（英）便⼠；（美）分
scene,n.情景；景象；场⾯；⽚段
increase,v.增加；（使）增加；（使）增⻓
hole,n.洞；孔；眼；巢⽳；漏洞
garage,n.⻋库；汽⻋修理⼚
fond,adj.喜爱的；温情的
destroy,v.破坏；毁坏
energy,n.活⼒；精⼒；能源；能量
bother,v.麻烦；打扰 n.麻烦；困难
above,prep.在...上⾯；超过 adv.在...上⾯ adj.上述的
honour,（亦作 honor）n.荣幸；尊敬；敬意 v.尊敬
seek,v.寻找；谋求；试图
medical,adj.医学的；医疗的
wipe,v.擦；拭；抹；消除
midday,n.中午；正午
roof,n.屋顶；顶部
quantity,n.数量；⼤量
exist,v.存在；⽣存 15
generation,n.⼀代；⼀代⼈；产⽣
refer,v.谈及；查阅；参考；提交
dialogue,n.对话；对⽩
cream,n.奶油；乳脂；奶油⾊
bone,n.⻣头；⻣骼；⻣质
deed,n.⾏为；⾏动；契约；证书
bury,v.埋葬；葬 n.埋葬
cent,n.分；分币
coast,n.海岸；海滨
inch,n.英⼨；少量；短距离
envelope,n.信封
handkerchief,n.⼿帕；纸⼱
regular,adj.定期的；经常的 n.常客
model,n.模型；模范；模特⼉ v.做模型 adj.模范的
pleasure,n.愉快；快乐；乐事；满⾜；娱乐
pot,n.锅；壶；罐
length,n.⻓；⻓度；⼀段；篇幅
plain,adj.清楚的；朴素的；平凡的；坦诚的 n.平原
nail,指甲；趾甲；钉 v.钉牢
sweater,n.⽑绒⾐；针织衫
patent,n.专利权 adj.明显的；有专利的 v.获得专利权
treasure,n.珠宝；财富；宝物 v.珍视；珍藏
shade,n.阴凉处；遮光物；暗部 v.为...遮阳
tale,n.故事；传说
branch,n.树枝；分⽀；⽀路 v.分开；分岔
bush,n.灌⽊；灌⽊丛；荒野
laboratory,（亦作 lab）n.实验室；研究所
shelf,n.架⼦；搁板；⼤陆架
Internet,n.互联⽹；因特⽹
within,prep.在...之内 adv.在内部
temper,n.脾⽓；怒⽓；情绪 v.使缓和；使温和
soldier,n.军⼈；⼠兵；战⼠
prison,n.监狱；监禁
medicine,n.药；医学
sort,n.种类；分类 v.整理；妥善处理
throughout,prep./adv.贯穿；遍及；到处
sweep,v.扫；打扫；扫过
seize,v.抓住；逮捕；夺取
otherwise,adv.否则；要不然；另外
pleasant,adj.令⼈愉快的；友好的；可喜的
needle,n.针；编制针；指针；松针；针头
proper,adj.正确的；恰当的；合乎体统的
mouth,n.嘴；⼝；出⼊⼝
sail,n.帆；船 v.航⾏
hatch,v.孵出；孵化；策划 n.舱⼝；舱⻔
flow,v.流动；流通 n.流动；流畅
peach,n.桃⼦；桃红⾊ adj.桃红⾊的
fist,n.拳头
lip,n.嘴唇；边沿
seed,n.种⼦；籽；萌芽；起源
particular,adj.特殊的；特定的；挑剔的
mailbox,n.邮筒；信箱；电⼦邮箱
code,n.密码；道德准则；法典 v.为...编码
boil,v.（使）沸腾；煮沸；烧开
district,n.区；地区；区域
cottage,n.村舍；⼩屋
hereby,adv.特此；以此
jail,n.监狱 v.监禁
sketch,v.画素描；概述 n.素描；⼩品；概述
thought,n.思想；思考；想法；关⼼
stair,n.楼梯
iron,n.铁；熨⽃ v.熨；烫平 adj.坚强的
tap,n.⽔⻰头 v.轻敲；轻拍；轻叩；开发
upward,adj.向上的；上升的 adv.向上
tight,adj.紧的；牢固的；绷紧的；严厉的
surface,n.表⾯；表层；外观
physics,n.物理学
sight,n.视⼒；视觉；情景；景点
path,n.路径；⼩道；道路
narrow,adj.狭窄的；狭隘的；勉强的
ceiling,n.天花板；顶棚；上限
accept,v.接受；忍受；同意
diet,n.饮⻝ v.节⻝
pledge,v.正式承诺；使保证 n.保证；誓⾔
servant,n.仆⼈；佣⼈；职员
metal,n.⾦属
phrase,n.短语；词组；成语；惯⽤语
telegram,n.电报
steak,n.⽜排；⾁排；⻥排
ski,v.滑雪
technical,adj.技术的；⼯艺的；专业的
puzzle,n.谜；智⼒游戏；难题 v.迷惑；使困惑
spoon,n.匙；勺⼦；⼀匙的量
pearl,n.珍珠
upstairs,adv.在楼上；往楼上 adj.楼上的 n.楼上
thief,n.⼩偷；贼
pipe,n.管⼦；管道；烟⽃；管乐
broad,adj.宽阔的；⼴泛的；概括的；辽阔的 16
port,n.港；港⼝；港⼝城市
opposite,adj.对⾯的 n.队⾥的⼈（物） prep.在...对⾯
heat,n.热；温度 v.变热；加热
pupil,n.学⽣；⼩学⽣；⻔徒；瞳孔
saw,n./v.锯
fair,adj.公平的；公正的；适当的 n.集市
click,v.点击；（使发出）咔嗒声
goat,n.⼭⽺
dozen,n.⼗⼏个；⼀打；许多
castle,n.城堡
camp,n.营地；兵营 v.宿营
equal,adj.相等的；平等的；能胜任的
cock,n.公鸡；雄禽
blame,v.责怪；把...归咎于 n.责任
dial,v.拨号；拨（电话号码） n.表盘；刻度盘
chaos,n.混乱；杂乱；紊乱
hack,v.砍；劈；⾮法侵⼊ n.砍；雇佣⽂⼈
slave,n.奴⾪ v.苦⼲
tongue,n.⾆头；语⾔；说话⽅式
tire,v.（使）疲劳；疲倦 n.轮胎
bitter,adj.苦的；痛苦的；怨恨的；严寒的
button,n.纽扣；按钮；徽章 v.⽤纽扣扣上
hall,n.⻔厅；过道；⾛廊
drown,v.淹死；溺死；淹没
cell,n.细胞；⼩房间；牢房
party,n.聚会；党；党派
wage,n.⼯资；⼯钱
flight,n.航班；⻜⾏；逃避
fence,n.栅栏；障碍物
affair,n.事情；事件；暧昧关系
chalk,n.粉笔
bend,v.（使）倾斜；弯曲；弯腰
cough,n./v.咳嗽
chain,n.链；链条；⼀连串 v.⽤锁链拴
operation,n.操作；⼿术；运算；⾏动；运转
throw,v.投；抛；掷；扔
slip,v.滑倒；脱落；下降；溜⾛；陷⼊
disk,（亦作 disc）n.磁盘
league,n.同盟；联盟；联合会；级别；⽔平
corn,n.（英）⾕物；（美）⽟⽶
fetch,v.拿来；请来；接来；卖得
haul,v.拖；拉；⽤⼒缓慢挪动到 n.⼤批赃物
situation,n.形势；情况；位置
Olympic,adj.奥林匹克运动会的
poll,n.⺠意测验；计票；投票数 v.获得（票数）
haunt,v.出没；难以忘却 n.常去的场所
church,n.教堂；礼拜堂；礼拜；教派
dare,v./aux.敢；胆敢 n.挑战；激将
broadcast,n.⼴播 v.播送；散布
solid,adj.固体的；结实的；可靠的 n.固体
altogether,adv.全部地；完全地；总共；总⽽⾔ 之
bite,v.咬；叮；咬饵；上钩
obey,v.服从；遵守
plough,n.犁 v.犁；耕
edit,v.编辑；校订；剪辑；主编 n.编辑
quality,n.质量；品质；特性
fever,n.发烧；发热；激动不安
presently,adv.不久；⽬前
plantation,n.种植园；⼈造林
attic,n.阁楼；顶楼
bulletin,n.新闻简报；公告
discrimination,n.歧视；辨别；区别；识别
marsh,n.沼泽；湿地
pine,n.松树；松⽊ v.悲伤；难过
breadth,n.宽度；阔度；⼴泛
route,n.路线；途径
marathon,n.⻢拉松赛跑；⻢拉松式的活动
ash,n.灰；灰烬；⻣灰
brandy,n.⽩兰地（酒）
lid,n.盖⼦
brag,v.吹嘘；夸耀
column,n.柱；⽀柱；圆柱；栏；专栏
boom,n.繁荣；激增 v.繁荣昌盛；轰鸣
rumour,（亦作 rumor）n.谣⾔
tube,n.管；管状物；软管
colony,n.殖⺠地；群；群体
blur,v.（使）模糊不清 n.模糊形状
physicist,n.物理学家
arrow,n.箭；箭头
terror,n.恐怖；惊骇；⼩捣蛋
approval,n.赞成；同意；批准
portable,adj.轻便的；⼿提的；便携式的
trunk,n.树⼲；⼤⾐箱；象⿐；躯⼲
ancestor,n.祖宗；祖先
thunder,n.雷（声） v.打雷；怒吼
imperial,adj.帝国的；（度量衡）英制的 17
jewel,n.宝⽯；珠宝⾸饰；宝⻉
insect,n.昆⾍
knit,v.编织；（使）紧凑
incidence,n.发⽣率；发⽣范围
Christ,n.基督；耶稣基督
Christian,n.基督教徒 adj.基督教的；基督教徒的
infant,n.婴⼉；幼⼉ adj.供婴幼⼉⽤的；初期的
troublesome,adj.令⼈烦恼的；引起麻烦的
indication,n.迹象；表示；表明
pillar,n.柱⼦；核⼼；⽀柱
industrialize,v.（使）⼯业化
indirect,adj.间接的；迂回的
gang,n.帮；⼀伙；⼀群
thumb,n.拇指 v.示意要求搭⻋
decoration,n.装饰；装饰品
fuss,n.⼤惊⼩怪；⼤发牢骚 v.过分关⼼；瞎忙活
deck,n.甲板；舱⾯；层⾯ v.装饰
portrait,n.肖像；描绘
funeral,n.葬礼；丧礼
theoretical,adj.理论（上）的
customs,n.海关；关税
operational,adj.操作上的；可使⽤的
operator,n.操作⼈员；接线员；经营者
frost,n.霜；严寒天⽓；冰冻（期） v.（使）结霜
database,n.资料库；数据库
rope,n.粗绳；绳索 v.⽤绳捆
trim,adj.整⻬的；苗条的 v./n.修剪；装饰（物）
freight,n.货运；货物 v.货运
crown,n.王冠；冕；花冠；桂冠；冠军
ministry,n.（政府的）部；神职；牧师职位
clay,n.粘⼟；泥⼟
fortunately,adv.幸运地
thrust,v.插；刺；猛推 n.插；戳；推⼒；要点
claw,n.⽖；脚⽖；蝥
flock,n.群；⼀⼤群 v.群集；聚集；蜂拥
basically,adv.基本上；从根本上说
banquet,n.宴会
classification,n.分类；分级；类别；等级分类法
zone,n.地区；区域
explosive,adj.易爆炸的；猛增的；暴躁的 n.炸药
beard,n.胡须；络腮胡⼦
pad,n.垫；⽖垫；便笺本 v.填充；轻步⾏为
experimental,adj.实验性的；试验性的
belly,n.腹部；肚⼦ v.隆起；⿎起
trifle,n.琐事；有点⼉；稍微
mainland,n.⼤陆
aside,adv.在旁边；撇开 n.旁⽩
marshal,n.元帅；司仪；执⾏官 v.安排
chop,v.砍；劈；切碎；削减；降低
revolutionary,adj.⾰命的 n.⾰命者
exceedingly,adv.⾮常；极其
Bible,n.基督教的《圣经》
naturally,adv.⾃然地；天然地；⼤⽅地
altitude,n.海拔；⾼度；⾼处
emperor,n.皇帝
mystery,n.神秘（性）；神秘的事物；悬疑（故事）
ridiculous,adj.荒谬的；可笑的
lord,n.贵族；上帝；（尊称）⼤⼈；阁下
alley,n.⼩街；⼩巷；胡同
parcel,n.包裹；邮包；⼀块地
philosopher,n.哲学家
elbow,n.肘；肘部 v.⽤肘推
psychological,adj.⼼理的；⼼理学上的
psychology,n.⼼理学；⼼理
mushroom,n.蘑菇 v.迅速发展；快速增⻓
loop,n.圈；环；循环；环线
alert,adj.警惕的；机敏的 n.警戒 v.使警觉
yawn,v.打哈⽋ n.哈⽋
dusk,n.傍晚；⻩昏
muscle,n.肌⾁；体⼒；影响⼒
lobby,n.⼤厅；游说（团体） v.游说
drawer,n.抽屉；开票⼈；出票⼈
multiple,adj.多个的；多种的
treaty,n.条约；协议；协定
liquor,n.烈酒
quotation,n.报价；引⽤；引⽂
donkey,n.驴；笨蛋
mop,n.拖把；墩布 v.⽤布擦掉；⽤拖把擦⼲净
likewise,adv.同样地；也
dirt,n.尘⼟；污物；污垢
resume,v.重新开始
lick,v.舔 n.少量
noticeable,adj.显⽽易⻅的；显著的
dialect,n.⽅⾔；⼟语；地⽅话
restless,adj.坐⽴不安的；不耐烦的
leisure,n.空闲；闲暇 adj.空闲的；闲暇的 18
normally,adv.通常地；正常地；平常地
wrist,n.⼿腕；腕关节
costly,adj.昂贵的；价钱⾼的；代价⾼的；损失⼤的
religious,adj.宗教的；虔诚的
lease,n.租约 v.出租；租⽤
nonsense,n.胡说；废话；愚蠢的⾏为
cop,n.警察 v.遭受；抓住
lane,n.（乡间）⼩路；跑道；泳道；⻋道；⼩巷
nightmare,n.噩梦；可怕的事物
commander,n.司令官；指挥官
proportional,adj.成⽐例的；相称的
landlord,n.地主；房东；店主；业主
undergraduate,n.⼤学本科⽣
chew,v.咀嚼；嚼碎
visa,n.签证
parliament,n.议会；国会
knot,n.绳结；痉挛 v.把...打成结
underneath,prep.在...下⾯；在...底下
champagne,n.⾹槟酒
vitamin,n.维⽣素；维他命
hence,adv.因此；由此
upper,adj.上⾯的；较⾼的
unconscious,adj.不省⼈事的；⽆意识的
bunch,n.串；束；扎 v.（使）打褶；（使得）变紧
wicked,adj.邪恶的；淘⽓的
hell,n.地狱；苦难的经历；该死
utmost,（亦作 uttermost）adj.最⼤的；极度的 n.极 限
priest,n.牧师；神⽗；祭司
bully,n.横⾏霸道者 v.恐吓；伤害；胁迫
worm,n.蠕⾍；可怜⾍
pea,n.豌⾖
hardware,n.硬件；设备；⼯具
viewpoint,n.观点；意⻅；⻆度
bullet,n.枪弹；⼦弹；弹丸
troop,n.⼀群⼠兵；群 v.成群地⾛
platform,n.平台；站台；讲台；纲领
hardship,n.艰难；困苦
mechanical,adj.机械（驱动）的；机械般的
paste,n.酱；糨糊；⾯团 v.粘贴
budget,n.预算 v.把...编⼊预算 adj.价格低廉的
oval,adj.卵形的；椭圆的 n.椭圆形；卵形
gulf,n.鸿沟；分歧；隔阂
measurement,n.测量；尺⼨
buddy,n.朋友；同伴
outer,adj.远离中⼼的；外⾯的
grin,v./n.咧着嘴笑
maximum,n.最⼤量（值） adj.最⼤量（值）的
bubble,n.泡 v.冒泡；沸腾；充满
ounce,n.盎司；⼀点点
grief,n.悲伤；悲痛⼼事；忧虑
mat,n.⼩地毯；垫⼦
bang,n.巨响；猛击 v.猛敲；猛摔
governor,n.主管；董事；总裁
Marxist,n.⻢克思主义者 adj.⻢克思主义的
bandage,n.绷带 v.⽤绷带包扎
oral,adj.⼝头的；⼝腔的 n.⼝试
goodness,int.天哪 n.善良；美德；精华
trash,n.垃圾；劣质品 v.捣⿎
baggage,n.⾏李
relativity,n.相对论；相对性
ghost,n.⻤；⻤魂；记忆
trademark,n.商标；特征；标记
badge,n.徽章；标记；象征
rat,n.⽼⿏；卑鄙⼩⼈
germ,n.细菌；微⽣物；萌芽；胚胎
toss,v.扔；抛；投；颠簸
auxiliary,adj.辅助的；备⽤的
ridge,n.脊；⼭脉；垄
railroad,n.铁路 v.迫使...做
generator,n.发电机；发⽣器；电⼒公司
tunnel,n.隧道；坑道；地道
torch,n.⽕炬；⽕把；⼿电筒
authentic,adj.真正的；可靠的
moreover,adv.⽽且；此外
rag,n.破布；抹布
forum,n.论坛；讨论会
paw,n.⽖ v.⽤⽖；抓
token,n.代币；象征 adj.装样⼦的
attorney,n.律师
throat,n.咽喉；喉咙
racial,adj.种族的；⼈种的
oven,n.烤箱
microphone,n.话筒；⻨克⻛；传声器
microscope,n.显微镜
microwave,n.微波炉
